"","ID","Country","CID","startdate","enddate","status","progress","Duration","finished","recordeddate","responseid","distributionchannel","userlanguage","q_recaptchascore","q1","q108","q109","q_example1","q_example_2","example1payoff","series_1_question","series2_question","series3_question","followuplotteries_1","followuplotteries_2","followuplotteries_3","trust","farm_risks_1","farm_risks_2","farm_risks_3","farm_risks_4","farm_risks_5","risk_attitude_1","risk_attitude_2","risk_attitude_3","risk_attitude_4","gender","birth","birth_4_text","hhsize","hhsize_4_text","children","children_4_text","hh_income","wealth","education","q85","q85_8_text","q80","q80_8_text","q86_4","q100","q101_1","q90","q90_4_text","q99","q99_5_text","q92","q92_4_text","q93","q102","share_subsidies_1","q17","Age","NbChildren","EducSup","Trust","FarmSize","LandOwned","IndivOwner","Difficult","ChoiceRandom","ToomanyLot","Sex","IDfarm","pw","DateEnquete"
"185",185,"Croatia","Croatia57","2021-08-25 14:49:32","2021-08-25 15:32:17",0,100,  00:42:45,1,"2021-08-25 15:32:17","R_29iFJasPv99G62y","anonymous","HR",0.899999976158142,1,7,1,3,6,4,6,12,7,84,2,3,4,1,1,2,2,2,5,6,6,4,1,4,1965,4,"4",4,"0",1,3,3,8,9.7,"8",2.7,88,2,NA,7,"",4,"",3,"",5,13,7,"Igrao sam lutriju prvi put. Pozdrav",56,0,0,0,0.124,0.88,0,4,2,3,"Males",NA,NA,NA
"186",186,"Croatia","Croatia58","2021-08-25 15:45:02","2021-08-25 16:15:11",0,100,  00:30:09,1,"2021-08-25 16:15:12","R_Xoc3w7iPrTf9rgt","anonymous","HR",1,1,1,1,3,6,NA,7,1,0,2,85,85,4,1,1,1,1,2,4,4,1,6,1,4,1957,4,"3",4,"0",5,3,2,8,3,"8",0.25,100,2,NA,7,"",4,"",1,"",5,4,5,"",64,0,0,0,0.0325,1,1,2,5,5,"Males",NA,NA,NA
"187",187,"Croatia","Croatia59","2021-08-25 21:38:31","2021-08-25 22:12:09",0,100,  00:33:37,1,"2021-08-25 22:12:10","R_1FkPlbwKNsfh6Y4","anonymous","HR",0.899999976158142,1,7,1,3,6,4,2,0,2,3,3,1,4,2,1,2,1,3,4,4,4,5,1,4,1969,4,"6",4,"0",5,9,4,8,10,"8",2,90,1,10,7,"",4,"",1,"",5,4,10,"Nadam se da će mi nakon objave rezultata postati jasnije koja je hipoteza postavljena (ako je?) ovom anketom.
Zasad mi je nejasno, no vjerujem u sustav, pa ih željno očekujem.
Lp",52,0,1,0,0.12,0.9,1,3,3,1,"Males",NA,NA,NA
"188",188,"Croatia","Croatia60","2021-08-25 22:03:20","2021-08-25 22:23:35",0,100,  00:20:15,1,"2021-08-25 22:23:36","R_1H79eYqzthnQosY","anonymous","HR",1,1,1,1,3,6,NA,12,14,0,2,2,3,4,1,2,1,2,2,5,NA,5,4,1,4,1985,4,"3",4,"0",1,1,4,8,5,"8",0,NA,2,NA,7,"",4,"",1,"",5,4,13,"",36,0,1,0,0.05,NA,1,2,2,3,"Males",NA,NA,NA
"189",189,"Croatia","Croatia61","2021-08-26 05:05:10","2021-08-26 08:29:58",0,100,  03:24:48,1,"2021-08-26 08:29:58","R_RnpWDMV98ofroHf","anonymous","HR",1,1,7,1,3,6,4,0,0,0,3,2,2,4,2,2,3,3,3,1,1,1,5,2,NA,NA,4,"5",4,"1",NA,NA,3,8,6,NA,NA,100,2,NA,7,"",4,"",1,"",5,NA,NA,"",NA,1,0,0,0.06,1,1,3,2,2,"Females",NA,NA,NA
"190",190,"Croatia","Croatia62","2021-08-26 09:37:07","2021-08-26 09:58:34",0,100,  00:21:27,1,"2021-08-26 09:58:34","R_24DhdJJ8XXm9z3T","anonymous","EN",1,1,4,1,3,6,NA,0,0,2,2,2,2,4,1,1,1,1,1,6,6,6,6,1,4,1983,4,"2",4,"0",NA,NA,4,8,19,"8",0,0,1,9,7,"",1,"",1,"",8,NA,NA,"",38,0,1,0,0.19,0,1,2,2,2,"Males",NA,NA,NA
"191",191,"Croatia","Croatia63","2021-08-26 12:12:43","2021-08-26 12:29:05",0,100,  00:16:22,1,"2021-08-26 12:29:06","R_2En74YFfUc0zGN3","anonymous","HR",1,1,5,4,3,6,4,10,10,5,2,2,2,4,2,1,2,2,1,4,5,4,4,1,4,1997,4,"5",4,"0",NA,NA,3,8,2,"8",1,100,2,NA,7,"",4,"",NA,"",5,4,0,"",24,0,0,0,0.03,1,NA,2,2,2,"Males",NA,NA,NA
"192",192,"Croatia","Croatia64","2021-08-26 12:42:29","2021-08-26 13:02:59",0,100,  00:20:30,1,"2021-08-26 13:03:00","R_29sORsctd0byC3G","anonymous","HR",1,1,1,1,3,6,NA,7,8,3,3,84,3,4,2,3,3,4,3,5,7,6,7,1,4,1984,4,"5",4,"2",1,NA,2,8,3,"8",1,60,2,NA,7,"",3,"",1,"",5,4,0,"",37,2,0,0,0.04,0.6,1,3,4,3,"Males",NA,NA,NA
"193",193,"Croatia","Croatia65","2021-08-26 15:08:01","2021-08-26 15:13:43",0,100,  00:05:42,1,"2021-08-26 15:13:43","R_33CDZGQySuqtAst","anonymous","HR",1,1,7,4,3,6,NA,8,7,3,85,3,85,4,2,1,1,3,2,6,5,7,6,1,4,1960,4,"3",4,"0",1,3,2,8,20,NA,NA,19,1,60,7,"",1,"",1,"",5,4,31,"",61,0,0,0,0.2,0.19,1,5,3,5,"Males",NA,NA,NA
"194",194,"Croatia","Croatia66","2021-07-30 13:01:57","2021-08-26 15:26:46",0,100, 650:24:49,1,"2021-08-26 15:26:47","R_3CZ9IcaFiDfH3ej","anonymous","HR",1,1,1,1,3,6,NA,0,0,2,84,3,3,4,1,2,1,1,1,4,4,1,5,1,4,1985,4,"5",4,"2",5,3,2,8,4,"8",0,80,2,NA,7,"",4,"",3,"",7,NA,5,"",36,2,0,0,0.04,0.8,0,4,3,3,"Males",NA,NA,NA
"195",195,"Croatia","Croatia67","2021-08-26 16:30:34","2021-08-26 16:43:29",0,100,  00:12:54,1,"2021-08-26 16:43:29","R_1LB9BDRIzbdmgBm","anonymous","EN",1,1,7,1,3,6,4,0,0,0,84,84,84,4,2,2,2,3,3,6,7,7,7,1,4,1968,4,"4",4,"2",NA,NA,2,NA,NA,NA,NA,20,2,NA,7,"",4,"",1,"",5,4,6,"",53,2,0,0,NA,0.2,1,4,4,4,"Males",NA,NA,NA
"196",196,"Croatia","Croatia68","2021-08-26 17:16:18","2021-08-26 18:26:27",0,100,  01:10:08,1,"2021-08-26 18:26:27","R_sFjGFemZ38n7uLv","anonymous","HR",1,1,1,1,3,6,4,6,4,4,2,2,3,4,2,2,2,3,2,4,4,1,4,2,4,2001,4,"6",4,"1",NA,NA,2,8,3.34,"8",1.83,100,2,NA,7,"",4,"",3,"",5,4,10,"",20,1,0,0,0.0517,1,0,2,2,3,"Females",NA,NA,NA
"197",197,"Croatia","Croatia69","2021-08-26 19:54:08","2021-08-26 20:13:52",0,100,  00:19:44,1,"2021-08-26 20:13:53","R_2QRL38YXtFh297Z","anonymous","HR",0.899999976158142,1,5,4,3,6,4,5,14,4,1,1,1,1,2,3,3,2,3,4,5,4,1,1,4,1992,4,"5",4,"0",1,1,4,8,2,"8",0,100,2,NA,7,"",4,"",1,"",NA,4,20,"",29,0,1,1,0.02,1,1,1,1,1,"Males",NA,NA,NA
"198",198,"Croatia","Croatia70","2021-08-26 21:00:08","2021-08-26 21:14:37",0,100,  00:14:28,1,"2021-08-26 21:14:37","R_3DwO4uDSXQpjnsB","anonymous","EN",1,1,5,4,3,6,4,12,1,1,84,1,3,4,1,1,1,1,2,4,4,1,6,1,4,1984,4,"4",4,"2",1,1,4,8,120,"8",0,80,1,30,7,"",1,"",2,"",5,13,10,"",37,2,1,0,1.2,0.8,0,4,1,3,"Males",NA,NA,NA
"199",199,"Croatia","Croatia71","2021-08-26 22:17:57","2021-08-26 22:31:19",0,100,  00:13:22,1,"2021-08-26 22:31:21","R_1P5mC2c9IE7T8ZO","anonymous","HR",1,1,1,1,3,6,4,12,14,4,84,84,2,4,1,2,1,1,1,4,5,5,1,1,4,1975,4,"5",4,"2",1,3,4,8,4,"8",0,100,2,NA,7,"",4,"",1,"",1,4,3,"",46,2,1,0,0.04,1,1,4,4,2,"Males",NA,NA,NA
"200",200,"Croatia","Croatia72","2021-08-27 07:25:50","2021-08-27 07:45:48",0,100,  00:19:58,1,"2021-08-27 07:45:50","R_Pu0R4hSWgZShb4l","anonymous","HR",1,1,1,1,3,6,NA,8,7,5,84,3,84,1,1,3,3,4,3,5,5,6,6,1,4,1960,4,"5",4,"1",1,3,4,8,2,"8",1,100,2,NA,7,"",4,"",1,"",5,4,4,"",61,1,1,1,0.03,1,1,4,3,4,"Males",NA,NA,NA
"201",201,"Croatia","Croatia73","2021-07-23 13:43:59","2021-08-27 13:37:45",0,100, 839:53:46,1,"2021-08-27 13:37:46","R_3jd26I3qAeYCEu3","anonymous","HR",1,1,1,1,3,6,4,12,0,1,1,1,1,4,1,3,4,1,3,1,5,1,1,1,4,1982,4,"4",4,"2",1,9,2,8,10,NA,NA,100,2,NA,7,"",4,"",3,"",5,5,NA,"",39,2,0,0,0.1,1,0,1,1,1,"Males",NA,NA,NA
"202",202,"Croatia","Croatia74","2021-08-27 13:45:49","2021-08-27 14:12:49",0,100,  00:27:00,1,"2021-08-27 14:12:50","R_6Lmsw5uOJQ5KHlf","anonymous","HR",1,1,1,1,3,6,4,12,0,1,2,3,3,1,1,2,3,2,2,5,6,6,6,1,4,1959,4,"4",4,"0",1,NA,4,8,5,"8",NA,100,2,NA,7,"",4,"",3,"",5,4,30,"",62,0,1,1,0.05,1,0,2,3,3,"Males",NA,NA,NA
"203",203,"Croatia","Croatia75","2021-08-27 17:08:30","2021-08-27 17:17:56",0,100,  00:09:25,1,"2021-08-27 17:17:58","R_2yswjW98f0tU9Cf","anonymous","EN",1,1,1,4,3,6,4,0,0,0,3,85,3,1,2,2,2,2,2,5,5,5,5,1,4,1984,4,"4",4,"2",1,9,4,8,55,"8",0,100,2,NA,7,"",4,"",2,"",NA,4,NA,"Sretno!",37,2,1,1,0.55,1,0,3,5,3,"Males",NA,NA,NA
"204",204,"Croatia","Croatia76","2021-08-28 11:31:24","2021-08-28 11:43:59",0,100,  00:12:34,1,"2021-08-28 11:44:01","R_byE8ONPKuC2UxAl","anonymous","HR",1,1,5,4,3,6,NA,10,5,2,1,3,2,4,1,1,2,3,2,4,1,5,6,2,4,1997,4,"4",4,"0",1,NA,4,8,1,"8",0.8,100,2,NA,7,"",4,"",1,"",5,4,10,"",24,0,1,0,0.018,1,1,1,3,2,"Females",NA,NA,NA
"205",205,"Croatia","Croatia77","2021-08-28 20:36:17","2021-08-28 20:46:54",0,100,  00:10:37,1,"2021-08-28 20:46:55","R_3KHKZUYG3dHLEsc","anonymous","HR",0.800000011920929,1,7,4,3,6,4,8,10,2,1,1,2,4,1,2,2,1,1,5,5,5,6,1,4,1995,4,"4",NA,"",NA,NA,4,NA,NA,NA,NA,70,1,85,7,"",4,"",1,"",8,NA,50,"",26,NA,1,0,NA,0.7,1,1,1,2,"Males",NA,NA,NA
"206",206,"Croatia","Croatia78","2021-08-30 07:37:38","2021-08-30 07:57:59",0,100,  00:20:20,1,"2021-08-30 07:57:59","R_2wsHp3WpFU4vU1G","anonymous","HR",1,1,1,4,3,6,4,9,14,1,1,1,1,4,2,2,3,4,3,5,5,5,5,1,4,1983,4,"3",4,"1",1,3,3,8,6,"8",0,100,2,NA,7,"",4,"",1,"",5,13,20,"",38,1,0,0,0.06,1,1,1,1,1,"Males",NA,NA,NA
"207",207,"Croatia","Croatia79","2021-08-30 14:41:26","2021-08-30 15:02:57",0,100,  00:21:31,1,"2021-08-30 15:02:58","R_25GFwhdILTOf0mF","anonymous","HR",1,1,5,4,3,6,4,5,10,0,84,3,3,4,1,3,3,3,4,5,4,4,5,1,4,1984,4,"8",4,"2",1,2,2,NA,NA,"8",5,100,2,NA,7,"",4,"",1,"",5,4,NA,"",37,2,0,0,0.05,1,1,4,3,3,"Males",NA,NA,NA
"208",208,"Croatia","Croatia80","2021-08-30 23:23:37","2021-08-30 23:45:02",0,100,  00:21:25,1,"2021-08-30 23:45:04","R_1BMmXefjVFmYOqZ","anonymous","HR",1,1,7,1,3,6,4,10,11,7,1,84,1,4,3,3,4,4,2,5,5,1,6,2,4,1982,4,"3",4,"0",5,9,4,8,7.6,"8",0,93,1,30,7,"",4,"",1,"",5,13,3,"",39,0,1,0,0.076,0.93,1,1,4,1,"Females",NA,NA,NA
"209",209,"Croatia","Croatia81","2021-08-02 22:22:32","2021-08-31 07:24:49",0,100, 681:02:17,1,"2021-08-31 07:24:51","R_1d18garm8YBzreP","anonymous","HR",1,1,7,1,3,6,4,1,3,7,3,85,84,4,2,2,2,2,1,6,4,5,6,1,4,1966,4,"7",4,"0",1,9,2,8,14.5,"8",0,95,2,NA,7,"",4,"",3,"",5,4,25,"",55,0,0,0,0.145,0.95,0,3,5,4,"Males",NA,NA,NA
"210",210,"Croatia","Croatia82","2021-08-31 07:56:16","2021-08-31 08:15:35",0,100,  00:19:19,1,"2021-08-31 08:15:36","R_2z8ajBQ6UMX7WF2","anonymous","HR",1,1,7,1,3,6,4,10,5,4,2,2,2,4,3,2,3,2,2,5,4,5,6,1,4,1987,4,"4",4,"0",5,1,2,8,6,"8",0,81,2,NA,7,"",4,"",1,"",5,13,15,"",34,0,0,0,0.06,0.81,1,2,2,2,"Males",NA,NA,NA
"211",211,"Croatia","Croatia83","2021-08-31 09:27:59","2021-08-31 10:36:17",0,100,  01:08:18,1,"2021-08-31 10:36:17","R_3rPcrmvsXW1erRM","anonymous","HR",1,1,1,1,3,6,NA,3,3,3,3,84,2,4,3,2,4,3,1,1,4,1,4,1,4,1947,4,"7",4,"2",6,9,3,8,1,"8",1,50,2,NA,7,"",4,"",1,"",5,NA,0,"",74,2,0,0,0.02,0.5,1,3,4,2,"Males",NA,NA,NA
"212",212,"Croatia","Croatia84","2021-08-31 11:07:49","2021-08-31 11:23:04",0,100,  00:15:15,1,"2021-08-31 11:23:05","R_DMqs1RQr8DYBzb3","anonymous","EN",0.899999976158142,1,4,1,3,6,4,0,0,7,1,1,1,4,1,1,2,1,1,4,4,5,5,1,4,1977,4,"2",4,"0",1,NA,4,8,2,"8",0,100,2,NA,7,"",4,"",2,"",NA,6,0,"",44,0,1,0,0.02,1,0,1,1,1,"Males",NA,NA,NA
"213",213,"Croatia","Croatia85","2021-08-31 14:11:52","2021-08-31 14:36:12",0,100,  00:24:20,1,"2021-08-31 14:36:13","R_Qhwj8g8tVfsIgRr","anonymous","HR",0.899999976158142,1,1,1,3,6,4,5,3,5,2,2,3,4,1,2,3,3,2,5,5,4,5,1,4,1982,4,"1",4,"0",1,3,4,8,2.25,"8",0,100,2,NA,7,"",1,"",3,"",5,4,15,"",39,0,1,0,0.0225,1,0,2,2,3,"Males",NA,NA,NA
"214",214,"Croatia","Croatia86","2021-08-31 16:55:45","2021-08-31 17:15:45",0,100,  00:20:00,1,"2021-08-31 17:15:46","R_3Jzp5AjE6FMtSMl","anonymous","HR",1,1,1,1,3,6,4,7,10,5,3,84,2,1,1,2,2,2,2,6,5,4,1,1,4,1981,4,"6",4,"2",5,1,2,8,8,"8",4,81,2,NA,7,"",4,"",1,"",5,4,20,"",40,2,0,1,0.12,0.81,1,3,4,2,"Males",NA,NA,NA
"215",215,"Croatia","Croatia87","2021-08-31 16:15:13","2021-08-31 17:19:46",0,100,  01:04:33,1,"2021-08-31 17:19:47","R_2Cmra0PAqLXhmMZ","anonymous","HR",0.899999976158142,1,1,1,3,6,4,4,10,3,2,2,2,4,2,1,3,3,3,5,6,6,6,1,4,1964,4,"5",4,"0",1,1,2,8,6,"8",2,100,2,NA,7,"",4,"",1,"",5,4,30,"",57,0,0,0,0.08,1,1,2,2,2,"Males",NA,NA,NA
"216",216,"Croatia","Croatia88","2021-08-30 14:27:43","2021-09-01 08:53:40",0,100,  42:25:56,1,"2021-09-01 08:53:42","R_3JIur6suaNL3reT","anonymous","HR",1,1,7,1,3,6,4,0,14,0,2,2,3,1,1,4,3,3,1,4,5,6,6,1,4,1958,4,"3",4,"0",5,3,4,8,3,"8",0,96,2,NA,7,"",4,"",1,"",5,4,10,"",63,0,1,1,0.03,0.96,1,2,2,3,"Males",NA,NA,NA
"217",217,"Croatia","Croatia89","2021-09-01 08:30:30","2021-09-01 09:15:10",0,100,  00:44:39,1,"2021-09-01 09:15:11","R_25AVOGhFj8D06E9","anonymous","HR",1,1,1,4,3,6,NA,11,3,1,2,2,2,1,2,4,3,3,4,4,5,1,5,1,4,1977,4,"4",4,"1",5,3,4,8,9,"8",0,90,2,NA,7,"",4,"",3,"",NA,4,30,"",44,1,1,1,0.09,0.9,0,2,2,2,"Males",NA,NA,NA
"218",218,"Croatia","Croatia90","2021-09-01 08:52:24","2021-09-01 09:19:00",0,100,  00:26:36,1,"2021-09-01 09:19:02","R_24vdScBOfmi3XlR","anonymous","HR",1,1,4,4,3,6,4,4,0,1,84,NA,3,4,2,2,3,3,3,4,4,4,5,2,4,1978,4,"5",4,"1",NA,NA,2,NA,NA,NA,NA,0,2,NA,7,"",4,"",1,"",5,4,5,"",43,1,0,0,NA,0,1,4,NA,3,"Females",NA,NA,NA
"219",219,"Croatia","Croatia91","2021-09-01 12:42:53","2021-09-01 12:52:40",0,100,  00:09:47,1,"2021-09-01 12:52:42","R_3KE2VxU8avrTItH","anonymous","EN",1,1,1,1,3,6,4,6,12,2,2,2,2,1,2,2,3,3,2,5,5,5,5,2,4,1977,4,"2",4,"0",1,1,4,8,10,"8",0,100,2,NA,7,"",5,"ekološka gnojidba",1,"",NA,4,NA,"",44,0,1,1,0.1,1,1,2,2,2,"Females",NA,NA,NA
"220",220,"Croatia","Croatia92","2021-09-01 13:43:30","2021-09-01 13:51:47",0,100,  00:08:16,1,"2021-09-01 13:51:49","R_1PbHfpPCqb1FPaU","anonymous","HR",0.899999976158142,1,1,1,3,6,NA,4,8,6,84,2,3,4,2,2,3,3,3,6,5,5,6,1,4,1987,4,"6",4,"2",NA,NA,3,8,4,"8",0,100,2,NA,7,"",4,"",1,"",5,NA,NA,"",34,2,0,0,0.04,1,1,4,2,3,"Males",NA,NA,NA
"221",221,"Croatia","Croatia93","2021-09-01 13:31:07","2021-09-01 13:53:20",0,100,  00:22:13,1,"2021-09-01 13:53:22","R_3m4s6sHPKQUU8GT","anonymous","HR",1,1,1,1,3,6,NA,10,10,2,3,2,3,4,1,2,1,2,1,5,4,4,4,1,4,1961,4,"3",4,"0",1,1,3,8,5,"8",5,100,2,NA,7,"",4,"",1,"",5,4,5,"",60,0,0,0,0.1,1,1,3,2,3,"Males",NA,NA,NA
"222",222,"Croatia","Croatia94","2021-09-01 15:14:55","2021-09-01 15:41:17",0,100,  00:26:21,1,"2021-09-01 15:41:18","R_1BWw3yCwLIN1hhO","anonymous","HR",1,1,1,1,3,6,4,5,7,7,85,85,3,4,2,1,2,1,1,1,1,1,1,2,4,1968,4,"6",4,"1",NA,NA,4,8,26,"8",0,100,2,NA,7,"",4,"",3,"",NA,6,0,"",53,1,1,0,0.26,1,0,5,5,3,"Females",NA,NA,NA
"223",223,"Croatia","Croatia95","2021-09-01 19:01:04","2021-09-01 19:14:25",0,100,  00:13:20,1,"2021-09-01 19:14:26","R_cvxXfvqA8VcHvQl","anonymous","HR",0.899999976158142,1,1,1,3,6,4,12,7,6,85,84,84,4,2,2,3,3,2,6,5,5,4,1,4,1975,4,"4",4,"0",1,9,2,8,20,"8",0,100,2,NA,7,"",4,"",3,"",5,6,40,"",46,0,0,0,0.2,1,0,5,4,4,"Males",NA,NA,NA
"224",224,"Croatia","Croatia96","2021-09-01 21:46:38","2021-09-01 22:22:14",0,100,  00:35:36,1,"2021-09-01 22:22:16","R_1PdhbTNiHC7n9e8","anonymous","HR",1,1,1,1,3,6,4,10,11,4,3,84,3,4,3,2,4,2,1,5,5,4,7,2,4,1966,4,"3",NA,"",NA,NA,2,8,3,"8",1,100,2,NA,7,"",4,"",3,"",5,4,10,"koji je smisao ove ankete?",55,NA,0,0,0.04,1,0,3,4,3,"Females",NA,NA,NA
"225",225,"Croatia","Croatia97","2021-09-02 13:37:41","2021-09-02 13:52:26",0,100,  00:14:45,1,"2021-09-02 13:52:27","R_b8vSxA48BXacNTX","anonymous","HR",1,1,1,1,3,6,4,5,10,1,2,2,1,4,2,2,3,3,1,5,5,5,5,1,4,1991,4,"3",4,"0",5,3,4,8,3,"8",0,100,2,NA,7,"",4,"",1,"",5,4,8,"",30,0,1,0,0.03,1,1,2,2,1,"Males",NA,NA,NA
"226",226,"Croatia","Croatia98","2021-09-02 13:54:30","2021-09-02 14:03:14",0,100,  00:08:43,1,"2021-09-02 14:03:16","R_726MAHFT6KGJ6Vj","anonymous","HR",1,1,7,4,3,6,NA,5,5,5,2,84,2,1,1,2,3,2,2,5,4,4,5,1,4,1984,4,"4",4,"2",1,1,2,8,6,"8",0,70,2,NA,7,"",4,"",3,"",5,4,20,"",37,2,0,1,0.06,0.7,0,2,4,2,"Males",NA,NA,NA
"227",227,"Croatia","Croatia99","2021-09-02 14:57:07","2021-09-02 15:15:41",0,100,  00:18:34,1,"2021-09-02 15:15:41","R_2foDnDXvD8WMr8g","anonymous","HR",1,1,1,1,3,6,4,0,14,5,84,85,85,4,1,1,2,2,3,6,7,5,6,1,4,1973,4,"1",4,"0",5,3,3,8,15,"8",0,100,2,NA,7,"",4,"",2,"",5,4,NA,"",48,0,0,0,0.15,1,0,4,5,5,"Males",NA,NA,NA
"228",228,"Croatia","Croatia100","2021-09-02 15:02:50","2021-09-02 16:19:11",0,100,  01:16:20,1,"2021-09-02 16:19:13","R_1cSPuVRhZssST0j","anonymous","EN",0.899999976158142,1,5,4,3,6,4,10,9,4,2,84,2,4,1,2,2,1,2,6,6,6,6,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"8",0,NA,NA,NA,7,"",4,"",1,"",NA,NA,NA,"",NA,NA,NA,0,0,NA,1,2,4,2,NA,NA,NA,NA
"229",229,"Croatia","Croatia101","2021-09-03 17:13:41","2021-09-03 17:41:56",0,100,  00:28:14,1,"2021-09-03 17:41:56","R_2qpW5V5IXa9LuN7","anonymous","HR",0.899999976158142,1,5,4,3,6,4,6,6,6,84,85,3,4,1,1,1,1,1,4,4,4,4,2,4,1971,4,"2",4,"0",NA,NA,2,8,4,"8",1,100,2,NA,7,"",4,"",1,"",5,NA,NA,"",50,0,0,0,0.05,1,1,4,5,3,"Females",NA,NA,NA
"230",230,"Croatia","Croatia102","2021-09-05 19:58:49","2021-09-05 21:29:44",0,100,  01:30:54,1,"2021-09-05 21:29:46","R_3ncrKN4pfnUcWcW","anonymous","HR",1,1,1,1,3,6,4,12,9,7,84,3,84,4,1,1,2,2,3,4,6,6,4,1,4,1951,4,"3",4,"0",1,3,4,8,10,"8",1,81,2,NA,7,"",3,"",1,"",5,4,19,"",70,0,1,0,0.11,0.81,1,4,3,4,"Males",NA,NA,NA
"231",231,"Croatia","Croatia103","2021-09-06 07:13:52","2021-09-06 07:50:02",0,100,  00:36:09,1,"2021-09-06 07:50:03","R_1oiH5RZJv9iHJAt","anonymous","HR",1,1,7,1,3,6,NA,10,12,0,84,85,NA,4,1,1,1,1,1,5,5,5,5,2,4,1978,4,"6",4,"0",NA,NA,2,8,10,"8",3,10,2,NA,7,"",2,"",1,"",5,NA,NA,"",43,0,0,0,0.13,0.1,1,4,5,NA,"Females",NA,NA,NA
"232",232,"Croatia","Croatia104","2021-09-07 15:51:55","2021-09-07 16:18:34",0,100,  00:26:39,1,"2021-09-07 16:18:34","R_22JNNGx1XvkYtbn","anonymous","HR",1,1,1,1,3,6,NA,7,0,0,1,1,1,4,1,2,3,2,2,5,4,4,5,1,4,1961,4,"4",4,"0",NA,NA,4,8,4,"8",0,100,2,NA,7,"",4,"",1,"",5,4,5,"",60,0,1,0,0.04,1,1,1,1,1,"Males",NA,NA,NA
"233",233,"France_I","France_I1","2021-08-05 10:14:17","2021-08-05 10:34:40",0,100,  00:20:23,1,"2021-08-05 10:34:42","R_3HOhvfAJ3z2Nguq","anonymous","FR",NA,1,NA,1,3,6,4,10,0,4,1,2,1,4,2,3,3,3,3,6,6,6,6,1,4,1978,4,"5",4,"3",6,16,4,8,120,"8",15,80,2,NA,1,NA,NA,NA,1,"",NA,13,40,"",43,3,1,0,1.35,0.8,1,1,2,1,"Males",NA,NA,NA
"234",234,"France_I","France_I2","2021-08-05 10:19:33","2021-08-05 10:44:40",0,100,  00:25:06,1,"2021-08-05 10:44:41","R_3nUIAq7xqh1gSNh","anonymous","FR",NA,1,NA,4,3,6,NA,5,12,1,84,84,84,4,1,1,2,1,2,4,4,5,6,1,4,1985,4,"2",4,"2",11,13,4,8,450,"8",0,40,1,38,24,NA,NA,NA,2,"",NA,13,52,"",36,2,1,0,4.5,0.4,0,4,4,4,"Males",NA,NA,NA
"235",235,"France_I","France_I3","2021-08-05 10:23:06","2021-08-05 10:46:01",0,100,  00:22:55,1,"2021-08-05 10:46:01","R_1H2AmxOm4WVPvvd","anonymous","FR",NA,1,NA,1,3,6,NA,6,4,3,1,1,1,4,2,2,2,3,3,4,6,6,6,1,4,1982,4,"2",4,"1",6,NA,4,NA,NA,NA,NA,20,1,35,24,NA,NA,NA,2,"",NA,NA,15,"",39,1,1,0,NA,0.2,0,1,1,1,"Males",NA,NA,NA
"236",236,"France_I","France_I4","2021-08-05 10:37:50","2021-08-05 11:02:35",0,100,  00:24:44,1,"2021-08-05 11:02:36","R_W3bScHGXseroKgF","anonymous","FR",NA,1,NA,1,3,6,4,6,0,1,2,2,2,1,1,1,3,2,1,6,6,6,6,1,4,1970,4,"5",4,"0",NA,9,4,8,250,"8",0,90,1,60,1,NA,NA,NA,1,"",5,4,100,"",51,0,1,1,2.5,0.9,1,2,2,2,"Males",NA,NA,NA
"237",237,"France_I","France_I5","2021-08-05 10:41:59","2021-08-05 11:13:04",0,100,  00:31:05,1,"2021-08-05 11:13:05","R_3lJHDfDQN2EFA6Z","anonymous","FR",NA,1,NA,4,3,6,NA,7,6,2,2,2,3,4,2,1,4,3,3,6,6,6,6,1,4,1965,4,"3",4,"0",9,9,4,8,301,"8",3,52,1,70,1,NA,NA,NA,2,"",5,4,88,"Pour l'indice IFT j ai répondue 10 mais après calcul nous sommes à 15,38 mais l'enquête ne permet pas de revenir en arrière",56,0,1,0,3.04,0.52,0,2,2,3,"Males",NA,NA,NA
"238",238,"France_I","France_I6","2021-08-05 10:35:53","2021-08-05 11:15:32",0,100,  00:39:39,1,"2021-08-05 11:15:34","R_1Kl2SJ5IYVt49MB","anonymous","FR",NA,1,NA,4,3,6,NA,6,11,7,1,1,2,4,1,3,3,3,3,4,6,4,4,1,4,1971,4,"4",4,"2",9,9,3,8,210,"8",5,75,1,70,1,NA,NA,NA,2,"",8,13,50,"C'est une bonne initiative, il devrait y avoir plus d’enquêtes dans ce sens.",50,2,0,0,2.15,0.75,0,1,1,2,"Males",NA,NA,NA
"239",239,"France_I","France_I7","2021-08-05 11:39:51","2021-08-05 11:58:17",0,100,  00:18:26,1,"2021-08-05 11:58:18","R_2rSLzrzbm4XrXsH","anonymous","FR",NA,1,NA,4,3,6,4,5,12,0,1,3,1,4,2,2,1,1,3,7,6,7,6,1,4,1969,4,"5",4,"3",11,9,4,8,250,"8",0,91,1,83,1,NA,NA,NA,2,"",5,4,17,"",52,3,1,0,2.5,0.91,0,1,3,1,"Males",NA,NA,NA
